Date,Activity,Activity type,Unit,Amount executed
2025-07-21,Cement making,Building,m3,3901.20409958197
2025-01-08,Cement making,Building,m3,4950.372927939353
2025-11-01,Ballast,Railway,m3,854.849759534223
2025-04-30,Laying steel rail,Railway,m,3759.1541993059054
2025-05-24,Walling,Building,m2,4717.213471095436
2025-07-19,Coat preparation,Road,L,3404.6838017929476
2025-01-21,Cement making,Building,m3,1506.4048327126727
2025-09-25,Anchorage,Railway,m2,2224.5936842758624
2025-05-28,Removing trees,Building,m2,74.74759474230875
2025-11-03,Iron mining,Railway,m3,4320.370968400788
2025-03-23,Iron mining,Railway,m3,4285.396480088354
2025-01-13,Terrain leveling,Building,m3,1643.8755939125438
2025-12-21,Coat preparation,Road,L,2049.2052083813005
2025-04-13,Coat preparation,Road,L,925.4136745395292
2025-03-06,Iron mining,Railway,m3,740.0236898141366
2025-08-06,Pavement,Road,m2,1880.0802097559772
2025-10-15,Terrain leveling,Building,m3,2483.673600864428
2025-03-20,Iron mining,Railway,m3,2359.907972582681
2025-11-10,Terrain leveling,Building,m3,3707.8986317352837
2025-01-19,Ballast,Railway,m3,1320.338886422267
2025-11-20,Ballast,Railway,m3,1816.556903360258
2025-08-16,Subbase application,Road,m2,1958.0454823933346
2025-07-23,Laying steel rail,Railway,m,689.5381117118277
2025-11-03,Foundation pouring,Building,m3,704.93921473674
2025-05-02,Rolling/Tractor,Road,m2,2048.041682372107
2025-11-29,Ballast,Railway,m3,4966.439553034717
2025-04-22,Ballast,Railway,m3,2310.0163210438186
2025-09-11,Removing trees,Building,m2,3341.246617924826
2025-01-31,Foundation pouring,Building,m3,999.1765578201778
2025-02-21,Terrain leveling,Building,m3,309.84851265199177
2025-05-25,Pavement,Road,m2,778.9070483728223
2025-06-20,Laying steel rail,Railway,m,2019.061912517342
2025-03-12,Pavement,Road,m2,2834.728281744017
2025-04-07,Terrain leveling,Building,m3,1293.6717120933167
2025-06-18,Subbase application,Road,m2,1310.3964931656903
2025-02-09,Cement making,Building,m3,1581.730259403113
2025-07-19,Anchorage,Railway,m2,4357.107468404659
2025-04-14,Subbase application,Road,m2,3379.6617939534945
2025-06-29,Walling,Building,m2,1735.9600280109144
2025-11-03,Pavement,Road,m2,213.76142492592177
2025-02-18,Laying steel rail,Railway,m,2833.540266393386
2025-01-14,Rolling/Tractor,Road,m2,3387.1183471976833
2025-12-18,Cement making,Building,m3,2031.2504906325785
2025-07-19,Walling,Building,m2,2080.9178688476154
2025-01-02,Iron mining,Railway,m3,4092.2946530481368
2025-04-30,Ballast,Railway,m3,3656.3966112923176
2025-05-04,Foundation pouring,Building,m3,1186.8559273494604
2025-06-07,Walling,Building,m2,4002.6714050363084
2025-03-18,Iron mining,Railway,m3,4316.155287317923
2025-10-25,Cement making,Building,m3,1864.8868783582118
2025-01-30,Terrain leveling,Building,m3,3779.3418444513622
2025-08-05,Subbase application,Road,m2,4349.625586742325
2025-03-22,Removing trees,Building,m2,372.47033652667574
2025-07-26,Ballast,Railway,m3,2307.689970319709
2025-10-04,Walling,Building,m2,2744.4990387939115
2025-01-03,Iron mining,Railway,m3,3339.943367312789
2025-08-25,Laying steel rail,Railway,m,1648.978571141622
2025-07-20,Ballast,Railway,m3,2546.0341735510738
2025-10-18,Cement making,Building,m3,3218.9794558319545
2025-06-20,Subbase application,Road,m2,359.0205706499194
2025-09-02,Terrain leveling,Building,m3,1213.256805985717
